timestamp,frame_filename,ground_truth,model_output,command,predicted_label,correct,latency,,,average latency
07/04/2026 08:38,frame_1775547517.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,3.59,,,1.746136364
07/04/2026 08:38,frame_1775547522.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.38,,,
07/04/2026 08:38,frame_1775547525.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.33,,,
07/04/2026 08:38,frame_1775547528.jpg,,"Description: The robot is approaching a room with a red carpet.
Hazard: There is a green shelf with various items on it.
Suggested Action: Stop.",STOP,BLOCKED,,2.69,,,
07/04/2026 08:38,frame_1775547531.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.42,,,
07/04/2026 08:38,frame_1775547534.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.43,,,
07/04/2026 08:38,frame_1775547537.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.39,,,
07/04/2026 08:39,frame_1775547540.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.38,,,
07/04/2026 08:39,frame_1775547543.jpg,,"Description: forward
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.4,,,
07/04/2026 08:39,frame_1775547546.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.76,,,
07/04/2026 08:39,frame_1775547549.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.52,,,
07/04/2026 08:39,frame_1775547552.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.8,,,
07/04/2026 08:39,frame_1775547555.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.57,,,
07/04/2026 08:39,frame_1775547558.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.46,,,
07/04/2026 08:39,frame_1775547561.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.52,,,
07/04/2026 08:39,frame_1775547564.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.52,,,
07/04/2026 08:39,frame_1775547568.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.44,,,
07/04/2026 08:39,frame_1775547571.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.49,,,
07/04/2026 08:39,frame_1775547574.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.52,,,
07/04/2026 08:39,frame_1775547577.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.39,,,
07/04/2026 08:39,frame_1775547580.jpg,,"Description: clear
Hazard: none
Suggested Action: forward",FORWARD,CLEAR,,1.41,,,
